text,text.1,text.2,text.3
Product quality ,Product quality and materials ,,
I have its washing machine based on my experience,I regularly use its locks,,
,Because lock desigin and security is good,,
,,Godrej products are good but costlier than other available options,
,,Quality ,
,Easy to operate this lock ,Good and stylish finishing this furniture.,
,godrej lock quality is very ood,,godrej have much more strength
,Because we trust the brand as we chose it for our home security purpose,,
Best products quality ,,Best products quality ,
,,,Well known and very old company 
Because it's a nice brand,,It such a wonderful product ,
Very nice and durable products ,Very durability and satisfied ,,
Because it is genuine brand since a long time ,,Because it is a trusted brand in this category of goods for a long time,
,,Company wise ,
,"Because godrej is a old & genuine brand company, which makes a lot of things & the their products are very good to use.",,It is a genuine brand which makes a lot of genuine product. The customers review & ratings are impressive to use.
It is very good ,,,
,,Godrej is very superb brand and it has lots of satisfied customers,It is well known brand and trusted by lots of customers
"Godrej furniture and equipment are very good. They just lack a varied colour combination
",,Godrej equipments are well polished and light weight. ,
I am currently using godrej applyances and satisfied with that. ,,,I am satisfied with this brand very positively. 
Its overall good ,,,
It's top brands in market for big home appliances.,,Godrej product is long lasting and Easy to use.,
,Godrej is a good product,Good quality and good product,
I'm using this brand from a long period and it is good till now,,,
"10 out of 50 because it's was good but not ssen today most in company
",,,It was good I will give score it 90 
Godrej is now not so popular brand,,Used from early time,
,Godrej is a good product,Godrej is a good product and quality ,
,Godrej is the leading company in the lockers in india,,
I liked it very much because it's very useful,,,They were very good quality and was very nice
,,It is a balanced company,
,,Best with homeLane's design.,Best quality
,,,
100%,,,Because Godrej is best
,as per my using experience ,As per it's catlog and advertisement ,
,"Because it's performance is good, it is durable and quality product.",,"It is trustworthy and easy to use, more durable brand"
,It is well reputed and innovative brand,"As i informed earlier, it is innovative brand always",
It is one of the best brand. It provides good electronic products. It provides good branded products and offers various offers and good quality of products. it is one of the most trusted brand. It always have new products.,,,It is one of the best brand. It provides lots of good variety of products and services. It has different variety of products which is very suitable for the users. It is advanced and most trusted brand.
,It is a reliable product,,
BECAUSE GODREJ IS A VERY GOOD COMPANY.,,BECAUSE GODREJ IS VERY GOOD COMPANY,
My family using it's product for many years ,,Godrej is trusted brand our family use this company product from generation ,
"Brand is popular, good quality",,"Poor quality, good maintenance",
,,"Godrej is traditional brand and pride brand.
Lasts long and front in business","Traditional brand.
Trustworthy and modern"
,,Because they have long lasting furnitures,"Iam satisfied with their products
"
,Ots very good and important ,It's very important and good ,
,,"As it had irs old is gold value
The brand is very familiar since i was a child as its trusted till today also ",As i said because of the brand name which is very familiar since i was a child and still using it
,I like this brand,Because i love this brand ,
,,"Trusted brand, but I don't use furniture of this brand. ",
"good quality
",,"durable,good product life",
,Because it's quality is quiet good.,,It's quality is quiet unique 
,It's gives a good deal and make a very innovation,Godrej has a great deal to choose best and gives a good tredy and satisfies customers,
"Trusted brand and durable, I have been using from many years.",,Godrej is well known and trustable brand in furniture and other applications.,
Based on my experience with me the brand ,,,
,It's very nice and trustworthy,It's very nice and attractive,
,Efficiency and quality,Quality assurance from the brand,
,Good Service ,Service ,
,"durability,long life,antirust",reliability of brand,
I trust this brand,,I have used this brand earlier ,
,Is this a strongest brand company and I use mostly,,Because I am using Godrej brand and how it's good I know
Poor experience with the product and not happy with customer service ,As I said before I am not happy with the customer service,,
I used that company product,,,
,,,BRAND REPUTATION
"Trustworthy , innovative brand , reliable , best services after sales purchase , good customer care service","Tough , secure , good product in terms of home security",,
,,A Trustable brand. I am using this brand for the last 15years. No problem with my furniture,It's brand name reveals its quality. 
Godrej product are not a normal legendary product in a market best service providers for us,,Godrej product and I want to eat you out and ready to go to work and get some rest and feel,
"This brand is very good.super quality different from other brands
",,,This is most the top brand of locker system.This brand given full guarantee of the lockers.
,,Because  brand and quality  is so good ,Because  quality  and brand  is so good 
Because it's a good product ,,,
"It, s good brand and excellent working.",,,It is very good brand and good quality.
Branded & Quality ,Trust & Quality ,,
Because its good manufacturing brand for home appliances and quality almost have greatest ,,,Because i trusted this brand always and this brand never disappoint or dissatisfied me 
,The quality is not up to the mark compare to other brand,,The quality is best in security
,,,
Because I don't prefer this barnd much because I have other better choices according to me in this industry ,,I think as compared to Amazon Furniture it is slightly better,
,,"Good quality, durability and price ",Because of its quality and safety 
5,,8,
,,,Very old and good quality brand.
,,,
"Elegant, well designed, high quality ","Secure, unique, highly technical ",,
,"Godrej smart locks help you to unlock doors from anywhere through an app on your phone, or they can open when you're in close proximity to your front door. ",,You won't need to compromise your home's security by leaving keys for visitors in locations where burglars can get to them. You can provide remote access to your home for others no matter where you are.
,I like it very much,I like it,
,,,
,This brand is leading in lock manufacturer from centuries ,,
